ID "State Code" "County Code" "Site Num" Address State County City "Date Local" "O3 Units" "O3 Mean" "O3 1st Max Value" "O3 1st Max Hour" "O3 AQI"
15265 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-11 "Parts per million" 0.007542 0.012 0 10
15266 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-11 "Parts per million" 0.007542 0.012 0 10
15267 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-11 "Parts per million" 0.007542 0.012 0 10
15268 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-11 "Parts per million" 0.007542 0.012 0 10
15269 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-12 "Parts per million" 0.004083 0.005 0 4
15270 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-12 "Parts per million" 0.004083 0.005 0 4
15271 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-12 "Parts per million" 0.004083 0.005 0 4
15272 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-12 "Parts per million" 0.004083 0.005 0 4
15273 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-13 "Parts per million" 0.004042 0.006 21 5
15274 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-13 "Parts per million" 0.004042 0.006 21 5
15275 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-13 "Parts per million" 0.004042 0.006 21 5
15276 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-13 "Parts per million" 0.004042 0.006 21 5
15277 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-14 "Parts per million" 0.004875 0.008 4 7
15278 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-14 "Parts per million" 0.004875 0.008 4 7
15279 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-14 "Parts per million" 0.004875 0.008 4 7
15280 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-14 "Parts per million" 0.004875 0.008 4 7
15281 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-15 "Parts per million" 0.005042 0.008 2 7
15282 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-15 "Parts per million" 0.005042 0.008 2 7
15283 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-15 "Parts per million" 0.005042 0.008 2 7
15284 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-15 "Parts per million" 0.005042 0.008 2 7
15285 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-16 "Parts per million" 0.017292 0.025 21 21
15286 36 5 83 "200TH STREET AND SOUTHERN BLVD Harding Lab" "New York" Bronx "New York" 2007-01-16 "Parts per million" 0.017292 0.025 21 21
