year,month,SO2 AQI
2007,1,20.126453390009726
2007,2,22.384816066066065
2007,3,18.200085053407836
2007,4,13.689677177177176
2007,5,10.785017678969291
2007,6,10.260175261468364
2007,7,10.120357110842185
2007,8,9.697744148257845
2007,9,9.53412162162162
2007,10,11.500071442410151
2007,11,14.995232732732731
2007,12,16.3137309012309
2008,1,18.295770367141333
2008,2,17.242933882158017
2008,3,13.696875925220995
2008,4,11.820232732732732
2008,5,9.946308001549937
2008,6,10.411899399399399
2008,7,10.393660405688706
2008,8,8.691529029029029
2008,9,8.06331182877793
2008,10,12.801146711227357
2008,11,14.153566066066066
2008,12,16.02695316284026
2009,1,19.631791872517677
2009,2,17.541066066066065
2009,3,15.662776592381855
2009,4,12.386899399399399
2009,5,8.801146711227357
2009,6,7.405838793338793
2009,7,8.289376876876876
2009,8,8.63412162162162
2009,9,7.908390627469574
2009,10,10.88179187251768
2009,11,12.178566066066065
2009,12,15.147920904775743
