state rawpoll_johnson adjpoll_johnson
Louisiana 5.0 2.46675
Maine 6.0 3.46675
"Rhode Island" 7.0 4.46675
Indiana 10.0 7.049983
"Maine CD-2" 6.0 5.353873
"South Dakota" 7.0 6.010668
Nebraska 10.0 7.46675
Arkansas 3.5 3.138551
Montana 11.0 8.466749
"Maine CD-1" 8.9 7.695682
U.S. 6.0 4.279817
Oregon 5.0 3.203529
"Maine CD-1" 4.0 3.353873
Ohio 5.0 3.8724
"Nebraska CD-2" 8.0 6.423684
Georgia 2.6 1.16678
Louisiana 7.0 4.956314
Alaska 7.0 5.800428
Oregon 7.0 4.588298
Iowa 10.0 7.049983
Nevada 10.0 7.384011
"New Hampshire" 11.0 8.334057
Maryland 4.0 1.649931
Wyoming 9.0 6.877967
"North Carolina" 9.0 5.95136
Arizona 6.5 4.505079
Oregon 4.0 2.193432
Georgia 4.3 3.133347
"Maine CD-2" 8.4 7.195682
"New Hampshire" 8.0 6.421375
Vermont 4.0 3.014014
Wisconsin 4.0 3.051657
Michigan 10.3 7.651839
Indiana 9.0 7.302149
Louisiana 4.0 2.444504
Florida 2.8 1.36678
Virginia 3.0 2.18723
Utah 9.0 7.214797
Illinois 5.8 4.416451
"District of Columbia" 3.0 0.4667494
Illinois 4.7 2.386975
Pennsylvania 4.0 2.198
Florida 5.0 2.769025
"West Virginia" 6.0 3.46675
Georgia 1.9 1.234994
Ohio 6.0 3.821614
California 6.51 6.0051
Kentucky 5.7 3.509084
Texas 7.74 7.235099
"North Carolina" 5.2 4.609324
Indiana 9.0 7.702041
"New York" 5.21 4.7051
Alaska 13.0 10.46675
"South Dakota" 16.0 13.46675
Florida 3.37 2.865099
Illinois 7.16 6.655099
U.S. 8.0 4.832564
"New Mexico" 14.0 12.04392
"New Hampshire" 9.0 6.78701
Wisconsin 4.0 2.193432
"New Hampshire" 10.0 8.539457
California 4.0 2.377538
Florida 5.0 4.342106
Pennsylvania 6.0 4.352058
"New Jersey" 5.82 5.315099
"North Dakota" 12.0 9.466749
Pennsylvania 4.27 3.765099
Florida 7.0 4.514908
Tennessee 7.0 4.742008
Ohio 6.46 5.9551
Tennessee 7.0 3.632502
Nevada 4.0 3.063068
Missouri 5.0 3.574145
U.S. 10.0 6.015251
Nevada 8.0 5.031559
U.S. 6.0 3.449229
Pennsylvania 4.0 2.539457
Wisconsin 5.29 4.7851
Indiana 6.23 5.725099
U.S. 4.0 4.256183
Virginia 7.0 5.352058
Minnesota 7.26 6.7551
U.S. 7.0 3.955676
Wyoming 10.0 7.46675
Indiana 11.0 7.861376
Utah 14.0 10.40113
Ohio 8.2 5.652133
Arizona 8.3 5.967001
Missouri 3.86 3.355099
"North Carolina" 5.27 4.765099
Virginia 7.0 5.569018
Florida 5.0 1.498562
Washington 6.59 6.0851
U.S. 6.0 4.331541
Colorado 12.0 10.36176
Michigan 7.19 6.685099
Virginia 5.73 5.225099
Arizona 7.21 6.7051
"Rhode Island" 5.0 2.463402
Colorado 10.06 9.555099
Alaska 10.0 8.590217
U.S. 9.8 5.774858
Texas 7.0 7.322947
"New York" 7.0 2.847999
U.S. 8.0 5.600378
"New Jersey" 6.0 3.679824
Georgia 5.31 4.805099
Virginia 7.0 4.787673
"New Hampshire" 5.0 3.956525
Maryland 6.35 5.845099
Missouri 5.0 3.569018
Colorado 13.0 9.610222
Colorado 6.0 4.352058
Massachusetts 6.92 6.4151
California 3.0 0.9246698
Arizona 9.0 6.463401
Pennsylvania 6.0 2.610222
"North Carolina" 8.0 4.762693
U.S. 4.0 4.123102
"North Carolina" 5.0 3.110243
Alabama 3.79 3.285099
Oregon 9.38 8.875099
Iowa 4.54 4.0351
"New Mexico" 24.0 19.25713
Ohio 5.0 3.107633
Tennessee 6.3 5.7951
Idaho 10.0 7.801977
Illinois 6.0 3.538691
Nevada 4.0 3.903062
Oregon 8.0 4.95322
Washington 10.0 7.025667
U.S. 10.0 5.668427
Washington 7.1 4.139849
Nebraska 7.3 4.339849
"South Carolina" 6.69 6.185099
Pennsylvania 5.0 3.041832
U.S. 7.0 4.822081
Connecticut 6.19 5.685099
Kentucky 5.87 5.365099
Wisconsin 7.8 5.264072
Colorado 5.0 4.903062
Florida 2.0 1.903062
Kansas 5.54 5.0351
Ohio 6.0 2.583928
Minnesota 4.0 2.268418
Colorado 7.0 4.972583
"North Carolina" 6.0 2.583928
Colorado 10.0 7.08318
"New Hampshire" 7.0 3.270664
U.S. 5.0 3.505818
U.S. 4.0 3.983703
Virginia 8.0 5.093813
Arizona 5.0 4.795477
"New Hampshire" 11.0 7.350421
U.S. 8.0 5.037767
Arizona 5.0 3.240234
Nevada 8.0 4.583928
Virginia 3.0 2.903062
Ohio 8.0 5.119866
California 6.0 4.122397
Delaware 7.0 4.418305
Ohio 4.0 3.903062
Montana 7.0 5.361583
Louisiana 6.1 5.595099
U.S. 8.0 4.134324
Ohio 10.0 6.392526
Wisconsin 5.0 4.903062
Pennsylvania 5.0 4.903062
"North Carolina" 3.0 2.903062
Tennessee 5.0 2.769537
Oklahoma 6.13 5.6251
Nevada 6.6 5.16413
Massachusetts 7.0 4.24787
U.S. 11.0 7.736113
Alaska 17.9 13.01727
Mississippi 4.12 3.615099
"New Mexico" 14.47 13.9651
U.S. 4.0 3.855162
Utah 8.8 5.876591
Nebraska 3.98 3.475099
Massachusetts 9.0 7.389446
Michigan 10.0 6.601357
U.S. 6.0 5.437468
Ohio 6.0 3.574836
Nevada 9.73 9.2251
Arkansas 10.86 10.3551
U.S. 8.0 6.59446
Florida 2.0 0.7160667
Pennsylvania 5.0 4.345241
"North Carolina" 6.0 5.345241
Florida 3.0 2.345241
Ohio 6.0 5.345241
U.S. 5.0 4.728122
Florida 6.0 2.697601
