state rawpoll_johnson adjpoll_johnson
"North Carolina" 8.0 5.333669
U.S. 7.0 4.123182
Michigan 11.0 6.716384
Pennsylvania 9.0 3.775149
California 5.41 4.092764
Minnesota 8.0 4.654415
Kentucky 5.4 3.533567
Nevada 4.8 1.788899
U.S. 8.5 6.748026
"South Carolina" 5.4 3.533567
Texas 7.0 4.333669
Michigan 8.0 5.333669
"North Carolina" 9.0 4.716384
Arizona 10.0 5.716384
Virginia 9.0 5.761353
Virginia 8.0 5.333669
Ohio 9.0 6.333669
Nevada 10.0 6.654415
Utah 7.0 3.507094
Montana 5.86 3.993567
Kansas 6.51 4.643567
U.S. 10.0 4.8535
Oregon 5.83 3.963567
Connecticut 7.17 5.303567
Florida 5.71 4.392765
Pennsylvania 6.0 3.333669
Iowa 9.15 7.283566
Colorado 16.0 12.09945
Iowa 12.0 8.099453
Alabama 3.64 1.773567
U.S. 9.0 4.359684
Colorado 12.0 7.716384
U.S. 7.0 4.740646
"North Carolina" 7.0 3.654415
Tennessee 7.1 5.233567
Florida 5.0 2.495918
Ohio 9.0 4.716384
U.S. 6.0 4.59029
Arizona 10.0 6.654415
Massachusetts 6.21 4.343567
California 7.0 4.333669
Georgia 7.0 4.333669
Colorado 11.0 7.654415
Pennsylvania 7.0 6.081309
"North Carolina" 6.0 5.081309
Ohio 6.0 5.081309
Florida 3.0 2.081309
U.S. 5.0 2.081493
Michigan 8.0 4.654415
Delaware 9.0 4.444294
"Maine CD-2" 9.9 5.917181
"South Carolina" 7.0 3.654415
U.S. 6.49 4.623567
Georgia 6.96 5.093567
Florida 6.0 1.688389
Georgia 5.0 2.399377
Florida 5.0 2.333669
Virginia 8.0 3.716384
Georgia 11.0 5.7179
"New Hampshire" 11.46 9.204735
"Maine CD-1" 12.1 8.117182
Arizona 9.0 5.955442
U.S. 10.0 6.716199
Ohio 9.0 5.654415
Virginia 11.0 7.099453
Delaware 5.07 2.814734
"North Dakota" 10.23 7.974734
"District of Columbia" 1.81 -0.445266
Texas 8.0 3.716384
Alaska 19.0 12.19133
Ohio 6.0 3.933308
Iowa 7.0 2.015883
Maryland 5.26 3.393567
Florida 4.0 2.959659
Ohio 6.0 4.959659
"North Carolina" 6.0 4.959659
Pennsylvania 6.0 4.959659
Wyoming 15.0 8.191334
U.S. 7.0 3.495394
Virginia 9.0 5.654415
"District of Columbia" 3.0 -0.467114
"South Dakota" 19.0 12.19133
"West Virginia" 3.69 1.434734
Washington 7.33 5.463567
U.S. 5.0 2.33794
U.S. 8.0 5.6704
Alaska 16.0 12.53289
Texas 8.0 4.654415
Iowa 8.0 6.087249
Wyoming 9.0 5.532886
Pennsylvania 8.0 3.716384
Michigan 6.0 4.795888
U.S. 6.4 4.8404
U.S. 5.0 3.845538
Virginia 10.0 5.862855
Colorado 13.0 8.862855
Virginia 6.24 4.373567
U.S. 6.0 4.46325
"South Dakota" 8.63 6.374734
U.S. 6.9 4.814775
"New York" 5.0 1.654414
"South Dakota" 11.0 7.532886
Iowa 6.0 3.378861
Nebraska 15.0 8.191334
Missouri 5.0 3.124466
"North Dakota" 14.0 10.53289
Vermont 6.75 4.494734
Alaska 4.87 2.614734
Hawaii 1.49 -0.7652659
Michigan 2.0 0.087249
Vermont 5.0 2.9717
"West Virginia" 6.0 2.532886
Montana 14.0 7.191333
"West Virginia" 12.0 5.191333
Arizona 4.55 2.683567
U.S. 6.7 5.075973
Montana 13.84 11.58473
U.S. 7.0 5.482021
Wyoming 12.22 9.964735
Louisiana 9.0 2.191333
Virginia 10.0 5.015882
Michigan 7.62 5.753567
Idaho 7.98 5.724734
Pennsylvania 6.0 2.654415
Nebraska 10.0 6.532886
Colorado 8.34 6.473567
"North Carolina" 6.35 4.483567
Minnesota 8.59 6.723567
Colorado 13.0 8.015882
Kentucky 5.0 1.127683
Indiana 13.0 6.191333
Montana 8.0 4.532886
Oregon 6.0 3.610681
"New York" 9.0 3.847904
Arizona 3.0 0.9046043
"North Dakota" 16.0 9.191334
"Rhode Island" 2.26 0.004734
"Rhode Island" 8.0 4.532886
Delaware 9.0 5.532886
Minnesota 15.0 8.191334
Maine 9.22 6.964735
Indiana 6.2 4.333567
Oklahoma 13.0 6.191333
Nebraska 6.04 3.784734
U.S. 6.7 4.555631
Alabama 8.0 1.191334
Florida 8.3 3.838904
Nevada 10.78 8.524734
U.S. 10.0 5.025095
Kentucky 7.0 0.191334
Maine 11.1 7.117181
Illinois 5.2 2.286038
Colorado 5.0 2.36656
U.S. 6.0 4.746455
Florida 7.0 2.716384
Vermont 11.0 7.532886
Missouri 7.64 5.773567
Oklahoma 10.0 6.532886
Tennessee 7.0 3.532886
California 7.0 3.654415
Mississippi 6.06 3.804734
Arkansas 9.0 5.532886
Georgia 7.0 3.654415
Arkansas 9.55 7.294734
"New Hampshire" 14.35 11.76447
Idaho 15.0 11.53289
U.S. 5.0 2.503754
Arizona 5.0 3.216389
Pennsylvania 5.0 3.072944
"New Mexico" 14.3 12.04473
Louisiana 5.0 1.532886
Florida 5.0 1.654414
U.S. 6.0 4.321379
Hawaii 9.0 5.532886
"New Hampshire" 10.0 6.532886
Delaware 5.11 2.524472
Connecticut 12.0 5.191333
Maryland 6.0 2.532886
Iowa 3.0 1.37809
Kentucky 7.0 3.532886
U.S. 5.0 4.081309
Tennessee 10.0 3.191333
Maine 15.0 8.191334
Louisiana 6.52 4.264734
Nevada 4.0 2.216389
Missouri 14.0 7.191333
"District of Columbia" 4.88 2.294472
Missouri 9.0 5.532886
Idaho 19.0 12.19133
Wisconsin 8.15 6.283566
Connecticut 7.0 3.532886
Oklahoma 6.91 4.654734
Maine 6.0 2.532886
Mississippi 4.0 0.532886
U.S. 6.5 4.308567
Florida 9.0 4.464516
Florida 5.0 3.034159
Alabama 8.0 4.532886
Nevada 5.0 2.385513
"New Hampshire" 8.0 3.962709
Indiana 13.0 9.532887
Virginia 7.0 5.216389
"New Jersey" 3.71 1.843567
U.S. 7.6 5.710453
Arkansas 11.0 4.191333
Kansas 8.0 5.287233
U.S. 7.5 5.676253
"Rhode Island" 3.7 1.114472
Iowa 9.0 5.532886
U.S. 7.4 5.374885
U.S. 7.0 5.65364
Ohio 5.4 3.533567
Kansas 6.61 4.354734
Wisconsin 10.0 5.213984
"Rhode Island" 15.0 8.191334
Utah 13.0 8.252111
U.S. 7.9 5.941204
Washington 10.0 6.532886
"New Mexico" 21.0 17.53289
Hawaii 13.99 11.40447
U.S. 6.4 4.152701
"South Carolina" 5.41 3.154734
Georgia 10.8 6.869038
California 10.0 5.937654
Florida 3.8 1.805045
U.S. 7.0 5.178976
Tennessee 6.51 4.254735
Georgia 7.0 4.45353
Montana 4.07 1.484473
Georgia 9.0 4.716384
Vermont 10.0 5.89709
Delaware 12.0 5.191333
Texas 7.82 5.953567
Michigan 7.0 5.244404
Vermont 11.0 4.191333
Massachusetts 6.0 2.532886
"North Dakota" 7.37 4.784472
Oregon 9.0 5.532886
U.S. 8.0 4.584496
Illinois 8.0 4.532886
"New Jersey" 4.0 0.532886
"New York" 5.27 3.403567
Kansas 11.0 7.532886
Kentucky 7.64 5.384734
Illinois 6.22 4.353567
Illinois 12.0 5.191333
U.S. 11.0 6.634304
Connecticut 6.0 1.737694
California 5.62 3.753567
Hawaii 7.0 0.191334
Massachusetts 11.0 4.191333
Wisconsin 10.0 6.532886
Minnesota 9.0 5.532886
Nevada 10.0 6.532886
Pennsylvania 7.0 4.054146
Florida 5.25 3.383567
U.S. 5.0 3.147293
Iowa 7.18 4.924734
Utah 7.0 3.361012
Alaska 17.1 14.51447
Connecticut 4.65 2.394734
Maryland 9.0 2.191333
U.S. 6.5 4.208718
Alabama 4.88 2.624734
U.S. 9.0 5.449406
Oregon 11.0 4.191333
"New Jersey" 8.0 1.191334
Nebraska 4.57 1.984473
California 11.0 4.251632
Massachusetts 5.1 2.844734
Idaho 9.66 7.074472
U.S. 7.0 5.057447
Michigan 3.0 0.7733491
Massachusetts 4.0 1.102579
Oregon 6.62 4.364734
Mississippi 4.0 -2.808666
"Rhode Island" 4.4 1.348958
Georgia 8.09 5.834734
"North Carolina" 10.0 6.919386
"District of Columbia" 5.14 2.088958
U.S. 7.0 4.277464
"North Carolina" 7.0 3.532886
"New Hampshire" 8.61 5.558958
Maryland 7.85 5.594734
Iowa 16.0 10.18748
Washington 6.97 4.714734
"South Dakota" 6.99 4.404472
Pennsylvania 7.58 5.713567
Texas 2.6 0.1073358
"West Virginia" 3.77 1.184472
Arizona 12.0 8.532887
U.S. 6.0 2.767969
Arkansas 2.85 0.2644722
U.S. 7.01 4.754735
U.S. 10.0 4.796196
Colorado 12.0 8.532887
Oklahoma 6.24 3.654472
Ohio 4.8 2.891044
Vermont 10.26 7.674472
U.S. 7.0 4.009053
Michigan 9.0 5.532886
California 3.0 0.2198809
Minnesota 7.23 4.974734
Mississippi 2.05 -0.5355277
Ohio 8.0 4.532886
"South Carolina" 7.0 3.532886
Washington 16.0 9.191334
"New Hampshire" 14.0 7.191333
"West Virginia" 6.88 3.828958
Missouri 7.76 5.504735
U.S. 7.0 4.935797
Illinois 4.3 1.435219
Michigan 6.68 4.424734
Montana 10.98 7.928957
"New Mexico" 16.1 13.51447
U.S. 7.0 5.005209
Virginia 9.0 5.532886
Alaska 5.49 2.438958
Nevada 12.0 5.191333
Virginia 8.59 6.334734
Ohio 15.0 9.187485
"New Hampshire" 10.0 6.909313
Virginia 8.0 4.583977
Texas 8.0 4.532886
Virginia 11.0 5.187486
Michigan 14.0 8.187485
Vermont 6.65 3.598958
Wyoming 14.56 11.97447
"North Carolina" 10.0 4.187486
Pennsylvania 13.0 7.187485
U.S. 7.0 4.726884
Florida 12.0 6.187485
Indiana 7.76 5.504735
Kansas 5.17 2.584472
U.S. 9.0 5.078835
U.S. 5.9 5.395099
"New Jersey" 9.0 4.532293
Tennessee 7.0 3.036747
"North Carolina" 5.17 2.914734
Arizona 7.81 5.554734
Maine 2.51 -0.5410422
Hawaii 5.27 2.218958
Connecticut 6.01 3.424473
U.S. 9.0 6.378193
Colorado 11.42 9.164734
Delaware 9.39 6.338958
U.S. 6.0 4.264808
Nevada 8.71 6.124472
Missouri 7.0 4.576612
Ohio 6.0 3.522935
"South Dakota" 2.74 -0.3110422
U.S. 10.0 5.061033
Louisiana 4.46 1.874472
U.S. 6.0 3.826766
"North Dakota" 12.0 8.948957
U.S. 9.0 5.114637
Hawaii 11.85 8.493071
U.S. 9.0 4.617548
Tennessee 7.75 5.164472
Iowa 6.0 2.632066
U.S. 7.0 3.411236
"Rhode Island" 6.31 2.953071
"New York" 5.0 1.532886
Michigan 7.5 3.48049
Wisconsin 6.54 4.284734
"New Mexico" 25.0 18.19134
Idaho 8.17 5.118958
U.S. 9.0 5.624479
Pennsylvania 6.0 2.532886
Wyoming 9.7 6.648958
Pennsylvania 6.87 4.614734
"South Carolina" 5.24 2.654472
Iowa 7.56 4.974473
U.S. 6.0 3.125315
U.S. 6.8 3.819592
U.S. 6.0 4.194971
Alabama 4.17 1.584472
Oregon 7.77 5.184473
"New Jersey" 5.0 1.531661
U.S. 7.0 4.209271
U.S. 11.0 6.199667
Georgia 6.0 3.4748
Illinois 6.1 2.948518
Nebraska 6.88 3.828958
"Maine CD-2" 10.5 6.131427
U.S. 6.0 3.821676
Michigan 8.0 5.352146
Wisconsin 3.0 1.434085
Illinois 7.0 4.044157
Georgia 7.0 3.532886
Maryland 4.95 2.364472
"North Dakota" 14.54 11.18307
"New Jersey" 3.81 1.554734
Iowa 16.0 9.191334
Ohio 7.24 4.984734
Michigan 8.0 3.787451
Oklahoma 10.83 7.778958
"Maine CD-1" 9.4 5.031426
Massachusetts 6.19 3.604472
Wyoming 11.77 8.413071
Wisconsin 13.0 6.191333
Florida 5.0 1.532886
U.S. 6.0 2.096694
California 8.0 4.532886
U.S. 12.0 6.91334
Delaware 12.39 9.033072
Maine 4.64 2.054472
U.S. 6.6 4.268998
Mississippi 4.84 1.788958
U.S. 8.0 5.155505
"District of Columbia" 0.0 -3.356929
U.S. 7.0 5.136912
Missouri 8.0 5.266528
"South Dakota" 11.86 8.503071
"New Mexico" 11.6 8.548958
Alaska 9.92 6.563071
Arizona 4.0 1.643983
U.S. 10.0 4.793422
U.S. 6.1 3.729431
U.S. 5.0 3.412743
Pennsylvania 5.0 1.962458
U.S. 12.0 6.912176
U.S. 8.0 4.533097
Texas 11.0 4.191333
Georgia 7.45 4.864472
U.S. 12.0 6.839156
Florida 6.43 4.174734
"New Hampshire" 12.73 9.079548
"North Carolina" 6.0 3.387561
Kentucky 4.92 1.868958
U.S. 6.7 4.297463
Kansas 8.8 5.748958
Maine 17.14 13.78307
"District of Columbia" 9.39 5.739549
U.S. 6.67 4.084472
U.S. 7.6 5.147911
"South Carolina" 7.62 4.568958
Virginia 6.0 3.228635
"New York" 8.0 1.191334
"West Virginia" 6.76 3.403071
Washington 9.59 7.004472
Ohio 5.0 3.37809
Vermont 0.0 -3.356929
Texas 7.83 5.574734
Louisiana 5.78 2.728958
Illinois 7.66 5.404734
U.S. 13.0 8.693769
Tennessee 6.66 3.608958
Arkansas 3.96 0.9089578
Minnesota 9.94 7.354472
Wisconsin 16.0 11.67838
Arizona 10.0 5.678376
Michigan 12.0 7.678376
U.S. 8.0 6.186348
"North Carolina" 6.0 3.18686
U.S. 6.0 3.722593
U.S. 7.3 4.808306
Idaho 5.0 1.989132
"North Carolina" 6.67 4.084472
"New York" 4.92 2.664734
U.S. 9.0 6.53535
Arizona 6.51 3.924472
Kentucky 7.12 4.534472
Colorado 10.02 7.434473
Colorado 16.0 9.191334
California 7.23 4.974734
Georgia 4.0 1.392162
Virginia 6.35 3.764472
Connecticut 3.91 0.8589579
Michigan 6.55 3.964472
U.S. 7.8 5.262672
Oklahoma 7.0 4.453775
U.S. 12.0 7.746197
Missouri 9.23 6.644472
Wyoming 3.58 -0.0704518
Montana 6.1 2.743071
Kansas 7.0 4.097289
U.S. 9.0 4.660508
Maryland 6.86 3.808958
U.S. 8.2 5.617891
"North Dakota" 12.96 9.309547
Iowa 6.48 3.428958
Indiana 6.95 4.364472
"North Carolina" 10.0 3.191333
Maine 10.0 5.631427
"Rhode Island" 8.84 5.189548
Oregon 5.24 2.188958
Florida 5.9 2.088963
Wisconsin 3.99 1.404472
Arizona 13.0 6.191333
Idaho 9.04 5.683071
U.S. 6.0 3.217166
U.S. 7.4 4.775476
Georgia 7.39 4.338958
Michigan 13.0 6.191333
Massachusetts 7.02 3.968958
U.S. 6.0 3.629778
Florida 2.0 -0.4555157
Kansas 17.0 10.19133
Pennsylvania 5.16 2.574472
"New Hampshire" 4.68 1.323071
Vermont 10.38 6.729548
Alaska 16.0 10.58651
Delaware 6.6 2.949548
U.S. 6.7 4.041504
U.S. 8.0 3.882
Hawaii 10.64 6.764915
Ohio 13.0 6.191333
U.S. 6.2 3.518012
Alabama 4.93 1.878958
U.S. 5.0 2.690746
Virginia 6.0 3.586967
U.S. 9.0 4.702864
Colorado 4.0 2.434085
"New Mexico" 17.4 14.04307
U.S. 7.0 4.801598
"District of Columbia" 6.32 2.444915
Nebraska 5.33 1.973071
U.S. 7.0 4.539991
Ohio 7.23 4.644473
"New Jersey" 5.03 2.444473
Texas 7.0 4.721873
"North Carolina" 2.0 0.4340849
"New Hampshire" 10.0 5.678376
U.S. 6.2 3.492228
U.S. 8.0 3.704906
"South Dakota" 13.38 9.729548
Alaska 8.53 4.879548
U.S. 9.0 6.236377
"North Dakota" 8.91 5.034915
U.S. 6.5 3.757742
Mississippi 3.6 0.2430709
Nevada 12.95 9.898958
U.S. 7.03 3.978958
Wyoming 14.78 10.90491
"New Hampshire" 10.44 6.564915
U.S. 3.0 0.8996218
U.S. 7.0 4.458159
Illinois 6.88 4.294472
"Rhode Island" 5.77 1.894915
Nevada 9.94 6.583071
Washington 8.26 5.208958
U.S. 7.5 4.72578
Montana 13.28 9.629547
U.S. 8.0 3.844322
Vermont 7.19 3.314915
"North Carolina" 7.83 4.778958
Pennsylvania 12.0 5.191333
Ohio 14.0 9.678376
Nevada 9.0 4.678376
Pennsylvania 13.0 8.678376
"North Carolina" 8.0 3.678376
Virginia 7.23 4.178958
Arkansas 4.38 1.023071
"South Carolina" 10.0 3.191333
Delaware 7.86 3.984915
Kansas 9.46 6.103071
Maine 7.28 3.629549
U.S. 7.2 4.389392
"West Virginia" 10.5 6.849548
U.S. 9.0 5.615378
Maine 8.49 4.614915
Mississippi 4.33 0.6795483
Texas 7.9 5.314473
Michigan 7.76 4.708958
U.S. 7.0 4.388881
Florida 6.01 3.424473
Louisiana 4.85 1.493071
Colorado 9.21 6.158958
Minnesota 8.46 5.408958
Kentucky 6.86 3.503071
Georgia 12.0 5.191333
Arizona 6.48 3.428958
Connecticut 7.61 4.253071
California 5.65 3.064472
"New York" 5.53 2.944473
Arkansas 8.0 4.810829
U.S. 10.0 5.217509
Idaho 8.14 4.489549
Virginia 13.0 6.191333
Missouri 8.14 5.088958
U.S. 7.8 4.950842
Arkansas 6.93 3.279548
U.S. 8.0 5.042057
U.S. 6.0 3.194225
Ohio 6.0 3.45459
Nevada 15.06 11.40955
Hawaii 2.79 -0.8604517
Oklahoma 14.24 10.88307
"Rhode Island" 7.0 2.932119
U.S. 7.0 4.315963
"North Dakota" 9.48 5.412119
Tennessee 7.02 3.663071
U.S. 7.0 4.934546
"New Mexico" 17.9 14.24955
"South Dakota" 5.61 1.734915
"South Carolina" 5.09 1.733071
U.S. 7.2 4.317202
U.S. 9.0 4.070801
U.S. 7.0 4.266691
Nevada 8.0 5.239269
Florida 10.0 3.191333
Alaska 9.4 5.332119
Hawaii 7.91 3.842119
Maine 6.54 2.472119
Pennsylvania 6.39 3.338958
Iowa 10.58 7.223071
Wyoming 9.73 5.662119
U.S. 6.0 3.240946
Indiana 9.37 6.318958
Alabama 4.86 1.503071
U.S. 8.0 5.408921
U.S. 6.8 3.887897
"New Jersey" 4.98 1.928958
Delaware 7.68 3.612119
Florida 3.0 1.434085
U.S. 8.0 3.414937
"West Virginia" 8.96 5.084915
"New Hampshire" 15.6 11.53212
U.S. 10.0 5.904822
"Rhode Island" 12.98 8.883715
Nebraska 6.77 3.119548
U.S. 4.0 1.577503
Wisconsin 8.4 5.348958
"District of Columbia" 8.68 4.61212
Montana 8.95 5.074915
Florida 6.0 3.004845
Florida 5.93 2.878958
U.S. 6.7 3.761142
Alaska 8.44 4.564915
Illinois 7.0 3.588248
Oregon 6.08 2.723071
Ohio 6.43 3.378958
U.S. 7.0 4.171109
U.S. 7.0 3.910684
Massachusetts 6.94 3.583071
Louisiana 0.98 -2.670452
"New Mexico" 14.0 11.64151
Maryland 7.01 3.653071
U.S. 6.0 3.349777
Oklahoma 8.45 4.799548
U.S. 8.1 5.129874
Colorado 9.0 7.08725
Idaho 17.29 13.41492
U.S. 5.0 2.627487
Nevada 10.0 6.824484
Kentucky 7.07 3.419549
U.S. 8.0 3.791401
U.S. 7.6 4.59949
California 12.0 5.191333
Vermont 12.97 8.902119
U.S. 7.0 4.11305
Oklahoma 6.0 2.341318
U.S. 7.0 4.302713
Georgia 5.2 2.637872
Illinois 6.8 3.748958
Kansas 7.37 3.719548
Connecticut 6.07 2.419549
U.S. 7.0 3.846257
U.S. 8.2 5.176222
Georgia 7.79 4.433071
"South Carolina" 7.28 3.629549
"New York" 4.69 1.638958
U.S. 7.0 3.751889
U.S. 7.0 4.049983
California 6.95 3.898958
Wyoming 9.5 5.403715
Washington 9.78 6.423071
U.S. 7.8 4.443071
Texas 8.06 5.008958
U.S. 8.3 5.258047
Arkansas 7.02 3.144915
U.S. 9.0 4.731342
Tennessee 9.14 5.489549
Mississippi 5.25 1.374915
Minnesota 8.74 5.383071
Alabama 6.82 3.169549
Colorado 10.22 6.863071
Alaska 14.66 10.56371
"New Mexico" 12.52 8.644915
U.S. 7.7 4.650629
Florida 9.0 4.678376
Virginia 7.92 4.563071
U.S. 7.0 3.777736
U.S. 6.0 2.981348
Iowa 11.39 7.739548
Oklahoma 14.61 10.73491
Nebraska 4.3 0.4249152
Hawaii 4.8 0.7037154
U.S. 8.8 5.739217
"District of Columbia" 9.98 5.883715
"North Carolina" 5.64 2.283071
"West Virginia" 5.48 1.412119
Missouri 9.23 5.873071
U.S. 8.4 5.329931
U.S. 6.7 3.631297
Arizona 10.52 7.163072
Idaho 9.14 5.07212
U.S. 10.0 5.134575
U.S. 7.7 4.626442
Nevada 12.76 8.884914
Oregon 7.93 4.279548
Maine 15.58 11.48372
U.S. 5.7 2.629642
"New Hampshire" 13.01 8.913715
Massachusetts 8.11 4.459548
U.S. 7.1 4.03201
Vermont 8.18 4.083715
Michigan 8.21 4.853071
Georgia 6.65 2.999548
Indiana 10.73 7.373071
Maryland 8.3 4.649549
Kansas 8.3 4.424915
U.S. 11.0 5.878042
Louisiana 8.35 4.474916
Pennsylvania 4.0 1.826766
"North Dakota" 8.57 4.473715
Wisconsin 6.85 3.493071
U.S. 6.3 3.230021
Montana 9.18 5.11212
"South Dakota" 5.52 1.452119
U.S. 9.0 5.555288
"South Dakota" 7.03 2.933715
Pennsylvania 8.86 5.503071
"New Jersey" 7.41 4.053071
Arizona 6.0 3.294721
"Rhode Island" 11.35 7.271874
U.S. 9.0 6.411748
Delaware 9.61 5.513715
U.S. 6.3 3.233895
"North Carolina" 8.0 4.989748
Kentucky 5.67 1.794915
U.S. 10.7 6.695671
Arkansas 8.1 4.03212
Wyoming 11.65 7.571873
U.S. 9.0 6.752122
Connecticut 8.75 4.874915
U.S. 6.0 2.935835
Vermont 10.43 6.351874
"South Carolina" 7.79 3.914915
Nebraska 9.21 5.142119
U.S. 7.9 4.249548
Michigan 7.0 3.604721
Nevada 8.0 4.867445
Tennessee 6.15 2.274915
Ohio 8.69 5.333071
Maryland 9.49 5.614915
Virginia 7.64 3.989548
Minnesota 8.74 5.089548
Oklahoma 10.37 6.302119
Alaska 13.84 9.761873
Alabama 4.95 1.074915
Iowa 8.7 4.824915
"New Mexico" 18.44 14.37212
"North Carolina" 8.51 4.859549
Texas 7.62 4.263071
Arizona 9.91 6.259548
Missouri 5.0 2.507702
Colorado 9.36 5.709548
Washington 10.83 7.179548
"New Hampshire" 8.74 4.661873
U.S. 9.0 3.330481
Hawaii 15.04 10.96187
"New York" 5.1 1.743071
Michigan 7.93 4.279548
"West Virginia" 11.18 7.083715
Nevada 9.47 5.40212
U.S. 5.0 2.697685
Massachusetts 8.32 4.444915
Missouri 10.02 6.369549
Ohio 8.0 4.347152
U.S. 12.0 7.813352
Mississippi 5.61 1.54212
Florida 6.38 3.023071
Oregon 7.26 3.384915
Illinois 6.21 2.853071
U.S. 6.5 3.438517
Maine 12.7 8.621874
Louisiana 5.91 1.842119
California 6.42 3.063071
Michigan 11.5 7.444877
Kansas 12.2 8.132118
Indiana 9.42 5.769548
California 4.0 2.020325
"District of Columbia" 8.12 4.041873
U.S. 8.0 3.321696
"North Dakota" 15.45 11.37187
Wisconsin 8.14 4.489549
U.S. 7.1 4.036392
Idaho 10.36 6.263715
U.S. 7.0 3.71831
U.S. 5.0 0.6912236
"New Jersey" 5.48 1.829548
U.S. 7.0 3.420589
Kentucky 8.5 4.432119
U.S. 5.0 1.580737
Georgia 7.98 4.104915
Delaware 9.96 5.881874
U.S. 6.0 2.646538
Washington 10.63 6.754915
Mississippi 7.23 3.133715
U.S. 6.5 3.439192
Pennsylvania 7.56 3.909548
"West Virginia" 5.89 1.811873
Pennsylvania 8.0 3.015883
U.S. 8.0 4.934123
Connecticut 10.42 6.352119
Ohio 7.79 4.139548
Arkansas 4.77 0.6737152
U.S. 6.0 2.511488
U.S. 8.39 4.514915
U.S. 6.9 3.8478
"South Dakota" 13.39 9.311874
Montana 8.52 4.423716
U.S. 6.6 4.492669
Colorado 12.02 8.144915
"Rhode Island" 10.2 6.20027
Oklahoma 12.77 8.673716
"South Carolina" 8.14 4.07212
"North Carolina" 7.64 3.764915
U.S. 6.0 2.445169
Michigan 6.86 2.984915
Arizona 10.58 6.704915
Maryland 7.1 3.032119
U.S. 8.0 2.313747
Florida 8.07 4.419548
Oregon 8.53 4.462119
Texas 7.62 3.969548
U.S. 7.5 4.45575
Iowa 10.4 6.332119
U.S. 8.0 5.60745
Tennessee 8.87 4.802119
Louisiana 7.08 2.983715
Missouri 8.64 4.764915
"North Dakota" 6.94 2.94027
Illinois 8.12 4.469548
Indiana 11.13 7.254915
U.S. 6.9 3.861753
U.S. 9.0 5.429982
Alaska 10.88 6.88027
Virginia 8.57 4.694915
"New Mexico" 16.45 12.35372
"New Jersey" 6.34 2.464915
Nevada 10.78 6.683715
Nebraska 10.1 6.003716
Maine 5.47 1.47027
Massachusetts 9.47 5.40212
U.S. 5.0 2.682818
"New York" 6.76 3.109549
Alabama 6.05 1.98212
Wyoming 14.71 10.71027
U.S. 6.8 3.767771
California 6.88 3.229548
Wisconsin 7.73 3.854915
Georgia 6.54 2.472119
Mississippi 3.12 -0.9581267
"South Dakota" 9.34 5.34027
Idaho 12.78 8.701874
U.S. 7.2 4.17398
"South Carolina" 6.94 2.843715
U.S. 7.0 3.385059
Arkansas 9.74 5.661873
U.S. 9.0 3.860497
U.S. 8.0 4.222986
Pennsylvania 9.24 5.364915
U.S. 8.0 4.325915
"New Hampshire" 9.86 5.86027
Minnesota 11.37 7.494915
Hawaii 5.16 1.16027
Vermont 11.43 7.43027
U.S. 8.0 4.278852
Kentucky 5.88 1.783715
Connecticut 7.78 3.683715
U.S. 7.0 3.179003
Minnesota 10.59 6.52212
Washington 9.75 5.682119
U.S. 7.1 4.088717
"District of Columbia" 6.22 2.22027
Alabama 7.88 3.783715
Texas 8.76 4.884915
Florida 7.31 3.434915
Maryland 6.87 2.773715
U.S. 8.85 4.78212
U.S. 7.8 4.808912
Ohio 8.12 4.244915
Illinois 8.23 4.354915
Colorado 13.01 8.94212
Nevada 9.33 5.251873
Kansas 10.51 6.413715
Oklahoma 11.97 7.891874
Arizona 9.84 5.77212
U.S. 5.0 2.65316
U.S. 8.0 2.335602
Montana 10.43 6.351874
U.S. 7.0 3.139282
Delaware 7.92 3.92027
Florida 5.9 1.895672
"New Mexico" 19.84 15.76187
"West Virginia" 7.44 3.44027
U.S. 8.1 5.126197
Oregon 10.15 6.053715
Indiana 9.81 5.74212
U.S. 11.0 6.220247
Massachusetts 7.08 2.983715
Tennessee 7.13 3.033715
Missouri 8.54 4.472119
"New York" 5.45 1.574915
"North Carolina" 8.48 4.412119
Louisiana 3.31 -0.7681267
Virginia 11.95 7.882119
California 8.99 5.114915
U.S. 10.0 5.609265
Michigan 7.78 3.71212
"New Jersey" 6.52 2.452119
U.S. 8.0 5.044329
U.S. 5.0 2.725456
Kansas 9.46 5.381874
U.S. 7.0 3.099715
U.S. 9.0 5.468127
U.S. 9.0 4.400216
U.S. 8.1 5.162604
Iowa 8.15 4.053715
Georgia 8.9 4.803715
U.S. 4.0 1.141474
Nebraska 11.3 7.221874
Wisconsin 8.31 4.24212
Connecticut 8.72 4.641874
U.S. 7.6 4.687695
Washington 10.23 6.133715
Kentucky 7.66 3.581873
U.S. 9.0 5.067748
Pennsylvania 10.74 6.672119
Michigan 9.0 5.631274
"South Carolina" 9.06 4.981874
Idaho 15.11 11.11027
U.S. 8.0 3.97859
U.S. 7.0 2.932957
U.S. 8.0 4.018195
U.S. 11.0 5.504868
Ohio 9.51 5.44212
U.S. 7.2 4.313135
Mississippi 7.26 3.26027
U.S. 7.0 2.888175
"New York" 7.16 3.092119
U.S. 8.69 4.593715
Nevada 12.84 8.840269
Texas 9.18 5.11212
U.S. 4.0 1.762335
U.S. 8.0 3.762512
Alabama 5.5 1.421873
U.S. 8.0 3.84576
Illinois 9.22 5.15212
U.S. 8.0 3.811789
