id,release_date,title,vote_average,vote_count,Label
8587,1994-06-23,The Lion King,8.0,5376,good
239,1959-03-18,Some Like It Hot,8.0,808,good
111,1983-12-08,Scarface,8.0,2948,good
40862,2006-01-01,Iraq for Sale: The War Profiteers,8.0,6,good
120,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,good
287815,2008-10-10,Call + Response,8.0,1,good
120467,2014-02-26,The Grand Budapest Hotel,8.0,4519,good
423,2002-09-24,The Pianist,8.0,1864,good
40920,2002-01-14,The Business of Fancydancing,8.0,2,good
1585,1946-12-20,It's a Wonderful Life,8.0,1076,good
150540,2015-06-09,Inside Out,8.0,6560,good
89708,2011-09-16,Samsara,8.0,167,good
595,1962-12-25,To Kill a Mockingbird,8.0,657,good
108346,1999-10-29,Dreaming of Joseph Lees,8.0,1,good
161795,1998-04-22,Déjà Vu,8.0,1,good
164558,2013-08-28,One Direction: This Is Us,8.0,201,good
328307,2014-11-20,Rise of the Entrepreneur: The Search for a Better Way,8.0,1,good
121,2002-12-18,The Lord of the Rings: The Two Towers,8.0,7487,good
333355,2005-03-21,Star Wars: Clone Wars: Volume 1,8.0,27,good
1124,2006-10-19,The Prestige,8.0,4391,good
57612,2008-02-15,Dolphins and Whales: Tribes of the Ocean,8.0,3,good
654,1954-06-22,On the Waterfront,8.0,357,good
670,2003-01-01,Oldboy,8.0,1945,good
14631,2005-10-21,The Work and the Glory II: American Zion,8.0,6,good
99826,2002-01-16,The Jimmy Show,8.0,1,good
105,1985-07-03,Back to the Future,8.0,6079,good
357441,2015-07-31,Karachi se Lahore,8.0,1,good
62,1968-04-10,2001: A Space Odyssey,7.9,2998,good
1955,1980-10-02,The Elephant Man,7.9,719,good
106646,2013-12-25,The Wolf of Wall Street,7.9,6571,good
16869,2009-08-18,Inglourious Basterds,7.9,6430,good
146233,2013-09-18,Prisoners,7.9,3085,good
641,2000-10-27,Requiem for a Dream,7.9,2443,good
98,2000-05-01,Gladiator,7.9,5439,good
152601,2013-12-18,Her,7.9,4097,good
78,1982-06-25,Blade Runner,7.9,3509,good
289,1942-11-26,Casablanca,7.9,1422,good
1892,1983-05-23,Return of the Jedi,7.9,4665,good
13963,1978-05-01,The Last Waltz,7.9,64,good
46738,2010-09-04,Incendies,7.9,479,good
142061,2013-01-18,"Batman: The Dark Knight Returns, Part 2",7.9,419,good
152532,2013-09-07,Dallas Buyers Club,7.9,2886,good
71157,2011-10-06,Polisse,7.9,285,good
210577,2014-10-01,Gone Girl,7.9,5862,good
387,1981-09-16,Das Boot,7.9,613,good
348,1979-05-25,Alien,7.9,4470,good
103663,2012-08-28,The Hunt,7.9,927,good
