Date,Nino 3
1877-September-01,2.08
1878-September-01,-0.41
1879-September-01,-0.71
1880-September-01,0.26
1881-September-01,-0.4
1882-September-01,-0.47
1883-September-01,-0.24
1884-September-01,0.29
1885-September-01,0.35
1886-September-01,-1.06
1887-September-01,-0.28
1888-September-01,1.07
1889-September-01,-0.89
1890-September-01,-0.97
1891-September-01,-0.18
1892-September-01,-1.04
1893-September-01,-0.9
1894-September-01,-0.78
1895-September-01,0.48
1896-September-01,0.96
1897-September-01,-0.36
1898-September-01,-0.29
1899-September-01,0.79
1900-September-01,0.42
1901-September-01,-0.43
1902-September-01,1.34
1903-September-01,-0.75
1904-September-01,0.17
1905-September-01,1.38
1906-September-01,-0.9
1907-September-01,0.1
1908-September-01,-0.68
1909-September-01,-1.07
1910-September-01,-1.01
1911-September-01,0.75
1912-September-01,0.21
1913-September-01,0.11
1914-September-01,0.96
1915-September-01,0.06
1916-September-01,-1.49
1917-September-01,0.09
1918-September-01,0.72
1919-September-01,0.53
1920-September-01,0.07
1921-September-01,-0.38
1922-September-01,-0.76
1923-September-01,0.55
1924-September-01,-0.94
1925-September-01,0.83
1926-September-01,-0.23
1927-September-01,-0.01
1928-September-01,-0.21
1929-September-01,0.39
1930-September-01,1.32
1931-September-01,-0.5
1932-September-01,-0.04
1933-September-01,-0.7
1934-September-01,-0.14
1935-September-01,0.18
1936-September-01,0.0
1937-September-01,0.28
1938-September-01,-0.59
1939-September-01,0.08
1940-September-01,0.12
1941-September-01,0.65
1942-September-01,-1.29
1943-September-01,-0.37
1944-September-01,-0.16
1945-September-01,-0.47
1946-September-01,-0.29
1947-September-01,-0.88
1948-September-01,-0.34
1949-September-01,-0.92
1950-September-01,-1.11
1951-September-01,0.87
1952-September-01,-0.62
1953-September-01,0.7
1954-September-01,-1.35
1955-September-01,-1.44
1956-September-01,-0.71
1957-September-01,0.68
1958-September-01,-0.21
1959-September-01,-0.42
1960-September-01,0.13
1961-September-01,-0.93
1962-September-01,-0.55
1963-September-01,0.63
1964-September-01,-0.77
1965-September-01,1.25
1966-September-01,-0.44
1967-September-01,-0.95
1968-September-01,0.29
1969-September-01,0.68
1970-September-01,-1.07
1971-September-01,-0.76
1972-September-01,1.64
1973-September-01,-1.18
1974-September-01,-0.23
1975-September-01,-1.06
1976-September-01,0.94
1977-September-01,0.01
1978-September-01,-0.47
1979-September-01,0.81
1980-September-01,-0.04
1981-September-01,0.04
1982-September-01,1.81
1983-September-01,0.18
1984-September-01,-0.39
1985-September-01,-0.74
1986-September-01,0.32
1987-September-01,1.63
1988-September-01,-1.4
1989-September-01,-0.32
1990-September-01,0.11
1991-September-01,0.1
1992-September-01,-0.35
1993-September-01,0.09
1994-September-01,0.01
1995-September-01,-0.7
1996-September-01,-0.33
1997-September-01,2.84
1998-September-01,-0.46
1999-September-01,-0.94
2000-September-01,-0.31
2001-September-01,-0.67
2002-September-01,0.51
2003-September-01,0.02
2004-September-01,0.33
2005-September-01,-0.25
2006-September-01,0.71
2007-September-01,-1.29
2008-September-01,0.03
2009-September-01,0.76
2010-September-01,-1.34
2011-September-01,-0.68
2012-September-01,0.39
2013-September-01,-0.22
2014-September-01,0.36
2015-September-01,2.36
2016-September-01,-0.19
2017-September-01,-0.88
2018-September-01,0.14
1870-October-01,-1.25
1871-October-01,-0.37
1872-October-01,-1.12
1873-October-01,-0.95
1874-October-01,-1.23
1875-October-01,-0.91
1876-October-01,0.24
1877-October-01,2.14
1878-October-01,-0.59
1879-October-01,-0.86
1880-October-01,0.34
1881-October-01,-0.43
1882-October-01,-0.62
1883-October-01,-0.48
1884-October-01,0.36
1885-October-01,0.37
1886-October-01,-1.12
1887-October-01,-0.26
1888-October-01,1.51
1889-October-01,-1.24
1890-October-01,-1.07
1891-October-01,-0.2
1892-October-01,-1.63
1893-October-01,-1.03
1894-October-01,-0.72
1895-October-01,0.54
1896-October-01,0.93
1897-October-01,-0.47
1898-October-01,-0.29
1899-October-01,1.0
1900-October-01,0.15
1901-October-01,-0.34
1902-October-01,1.56
1903-October-01,-0.67
1904-October-01,0.97
1905-October-01,0.99
1906-October-01,-0.8
1907-October-01,-0.45
1908-October-01,-0.47
1909-October-01,-1.31
1910-October-01,-0.85
1911-October-01,0.47
1912-October-01,-0.16
1913-October-01,0.34
1914-October-01,0.51
1915-October-01,-0.03
1916-October-01,-1.56
1917-October-01,-0.07
1918-October-01,1.11
1919-October-01,0.1
1920-October-01,-0.07
1921-October-01,-0.02
1922-October-01,-0.39
1923-October-01,0.42
1924-October-01,-0.4
1925-October-01,0.83
1926-October-01,-0.23
1927-October-01,0.13
1928-October-01,-0.27
1929-October-01,0.26
1930-October-01,1.39
1931-October-01,-0.08
1932-October-01,-0.08
1933-October-01,-0.97
1934-October-01,-0.22
1935-October-01,0.07
1936-October-01,0.43
1937-October-01,-0.26
1938-October-01,-0.71
1939-October-01,-0.23
1940-October-01,0.19
1941-October-01,0.91
1942-October-01,-1.5
1943-October-01,-0.22
1944-October-01,-0.35
1945-October-01,-0.61
1946-October-01,-0.34
1947-October-01,-0.7
1948-October-01,-0.77
1949-October-01,-1.11
1950-October-01,-0.88
1951-October-01,1.03
1952-October-01,-0.27
1953-October-01,0.01
1954-October-01,-1.28
1955-October-01,-1.7
1956-October-01,-0.6
1957-October-01,0.83
1958-October-01,-0.27
1959-October-01,0.11
1960-October-01,-0.35
1961-October-01,-0.92
1962-October-01,-0.5
1963-October-01,0.78
1964-October-01,-0.92
1965-October-01,1.37
1966-October-01,-0.31
1967-October-01,-0.96
1968-October-01,0.26
1969-October-01,0.82
1970-October-01,-0.87
1971-October-01,-1.08
1972-October-01,1.92
1973-October-01,-1.35
1974-October-01,-0.63
1975-October-01,-1.22
1976-October-01,1.1
1977-October-01,0.55
1978-October-01,-0.14
1979-October-01,0.57
1980-October-01,-0.26
1981-October-01,0.11
1982-October-01,2.34
1983-October-01,-0.49
1984-October-01,-0.86
1985-October-01,-0.84
1986-October-01,0.77
1987-October-01,1.23
1988-October-01,-1.86
1989-October-01,-0.36
1990-October-01,-0.06
1991-October-01,0.64
1992-October-01,-0.34
1993-October-01,0.21
1994-October-01,0.62
1995-October-01,-0.73
1996-October-01,-0.39
1997-October-01,3.11
1998-October-01,-0.74
1999-October-01,-1.16
2000-October-01,-0.48
2001-October-01,-0.53
2002-October-01,0.93
2003-October-01,0.39
2004-October-01,0.47
2005-October-01,-0.43
2006-October-01,0.85
2007-October-01,-1.48
2008-October-01,-0.02
2009-October-01,0.78
2010-October-01,-1.7
2011-October-01,-0.98
2012-October-01,0.04
2013-October-01,-0.1
2014-October-01,0.63
2015-October-01,2.47
2016-October-01,-0.52
2017-October-01,-0.82
2018-October-01,0.71
1870-November-01,-1.03
1871-November-01,-0.32
1872-November-01,-0.97
1873-November-01,-1.03
1874-November-01,-1.24
1875-November-01,-0.91
1876-November-01,0.25
1877-November-01,2.29
1878-November-01,-0.92
1879-November-01,-1.02
1880-November-01,0.37
1881-November-01,-0.6
1882-November-01,-0.88
1883-November-01,-0.23
1884-November-01,0.48
1885-November-01,0.52
1886-November-01,-1.26
1887-November-01,-0.1
1888-November-01,2.2
1889-November-01,-1.01
1890-November-01,-1.0
1891-November-01,-0.06
1892-November-01,-1.59
1893-November-01,-0.91
1894-November-01,-0.84
1895-November-01,0.53
1896-November-01,1.58
1897-November-01,-0.52
1898-November-01,-0.61
1899-November-01,1.25
1900-November-01,-0.1
1901-November-01,-0.15
1902-November-01,1.63
1903-November-01,-0.81
1904-November-01,0.55
1905-November-01,1.11
1906-November-01,-0.5
1907-November-01,-0.42
1908-November-01,-0.82
1909-November-01,-1.55
1910-November-01,-0.4
1911-November-01,0.94
1912-November-01,0.08
1913-November-01,0.88
1914-November-01,0.48
1915-November-01,-0.41
1916-November-01,-1.85
1917-November-01,-0.45
1918-November-01,1.41
1919-November-01,-0.45
1920-November-01,-0.15
1921-November-01,-0.89
1922-November-01,-0.79
1923-November-01,0.5
1924-November-01,-0.96
1925-November-01,0.84
1926-November-01,-0.28
1927-November-01,-0.08
1928-November-01,-0.42
1929-November-01,0.12
1930-November-01,1.81
1931-November-01,-0.47
1932-November-01,-0.24
1933-November-01,-1.02
1934-November-01,-0.05
1935-November-01,0.29
1936-November-01,0.04
1937-November-01,-0.04
1938-November-01,-0.86
1939-November-01,0.38
1940-November-01,0.3
1941-November-01,1.14
1942-November-01,-1.66
1943-November-01,-0.45
1944-November-01,-0.63
1945-November-01,-0.25
1946-November-01,-0.38
1947-November-01,-0.52
1948-November-01,-0.32
1949-November-01,-1.45
1950-November-01,-1.45
1951-November-01,1.03
1952-November-01,-0.55
1953-November-01,0.13
1954-November-01,-1.38
1955-November-01,-2.08
1956-November-01,-1.05
1957-November-01,1.02
1958-November-01,-0.14
1959-November-01,-0.24
1960-November-01,-0.74
1961-November-01,-0.32
1962-November-01,-0.68
1963-November-01,0.67
1964-November-01,-0.93
1965-November-01,1.43
1966-November-01,-0.7
1967-November-01,-0.92
1968-November-01,0.37
1969-November-01,0.85
1970-November-01,-1.15
1971-November-01,-1.09
1972-November-01,2.15
1973-November-01,-1.59
1974-November-01,-0.75
1975-November-01,-1.22
1976-November-01,1.05
1977-November-01,0.58
1978-November-01,-0.02
1979-November-01,0.52
1980-November-01,0.01
1981-November-01,-0.1
1982-November-01,2.69
1983-November-01,-0.79
1984-November-01,-0.98
1985-November-01,-0.68
1986-November-01,0.88
1987-November-01,1.16
1988-November-01,-1.84
1989-November-01,-0.34
1990-November-01,-0.12
1991-November-01,1.03
1992-November-01,-0.29
1993-November-01,0.11
1994-November-01,0.85
1995-November-01,-0.75
1996-November-01,-0.49
1997-November-01,3.22
1998-November-01,-0.71
1999-November-01,-1.42
2000-November-01,-0.72
2001-November-01,-0.59
2002-November-01,1.24
2003-November-01,0.35
2004-November-01,0.49
2005-November-01,-0.92
2006-November-01,0.93
2007-November-01,-1.71
2008-November-01,-0.15
2009-November-01,1.19
2010-November-01,-1.56
2011-November-01,-1.04
2012-November-01,0.17
2013-November-01,-0.11
2014-November-01,0.92
2015-November-01,2.63
2016-November-01,-0.48
2017-November-01,-1.1
2018-November-01,1.0
1870-December-01,-0.95
1871-December-01,-0.63
1872-December-01,-1.01
1873-December-01,-1.1
1874-December-01,-1.12
1875-December-01,-1.02
1876-December-01,0.29
1877-December-01,2.56
1878-December-01,-0.8
1879-December-01,-0.99
1880-December-01,0.06
1881-December-01,-0.49
1882-December-01,-0.83
1883-December-01,-0.34
1884-December-01,0.56
1885-December-01,0.69
1886-December-01,-1.44
1887-December-01,0.0
1888-December-01,1.73
1889-December-01,-1.05
1890-December-01,-0.6
1891-December-01,-0.1
1892-December-01,-1.41
1893-December-01,-0.92
1894-December-01,-0.62
1895-December-01,0.54
1896-December-01,1.6
1897-December-01,-0.45
1898-December-01,-0.77
1899-December-01,1.29
1900-December-01,0.3
1901-December-01,-0.08
1902-December-01,1.27
1903-December-01,-1.17
1904-December-01,0.76
1905-December-01,0.93
1906-December-01,-0.65
1907-December-01,-0.21
1908-December-01,-1.21
1909-December-01,-1.08
1910-December-01,-0.63
1911-December-01,1.46
1912-December-01,-0.41
1913-December-01,0.95
1914-December-01,0.75
1915-December-01,-0.67
1916-December-01,-1.73
1917-December-01,-1.03
1918-December-01,1.4
1919-December-01,0.19
1920-December-01,0.11
1921-December-01,-0.79
1922-December-01,-0.74
1923-December-01,0.72
1924-December-01,-0.82
1925-December-01,1.51
1926-December-01,-0.12
1927-December-01,-0.04
1928-December-01,-0.2
1929-December-01,0.4
1930-December-01,1.56
1931-December-01,-0.39
1932-December-01,-0.43
1933-December-01,-1.14
1934-December-01,-0.44
1935-December-01,0.03
1936-December-01,0.45
1937-December-01,0.05
1938-December-01,-1.06
1939-December-01,0.01
1940-December-01,1.11
1941-December-01,1.31
1942-December-01,-1.19
1943-December-01,-0.48
1944-December-01,-0.58
1945-December-01,-0.54
1946-December-01,-0.19
1947-December-01,0.13
1948-December-01,0.21
1949-December-01,-1.34
1950-December-01,-0.97
1951-December-01,0.81
1952-December-01,-0.69
1953-December-01,0.08
1954-December-01,-1.18
1955-December-01,-1.65
1956-December-01,-0.8
1957-December-01,1.16
1958-December-01,-0.08
1959-December-01,-0.15
1960-December-01,-0.32
1961-December-01,-0.32
1962-December-01,-0.79
1963-December-01,0.96
1964-December-01,-1.13
1965-December-01,1.3
1966-December-01,-0.69
1967-December-01,-0.85
1968-December-01,0.56
1969-December-01,0.86
1970-December-01,-1.26
1971-December-01,-1.15
1972-December-01,2.44
1973-December-01,-1.6
1974-December-01,-0.74
1975-December-01,-1.54
1976-December-01,0.76
1977-December-01,0.53
1978-December-01,0.26
1979-December-01,0.58
1980-December-01,0.2
1981-December-01,0.29
1982-December-01,3.07
1983-December-01,-0.62
1984-December-01,-1.36
1985-December-01,-0.67
1986-December-01,0.74
1987-December-01,1.07
1988-December-01,-1.76
1989-December-01,-0.36
1990-December-01,-0.03
1991-December-01,1.32
1992-December-01,-0.26
1993-December-01,0.0
1994-December-01,0.94
1995-December-01,-0.74
1996-December-01,-0.8
1997-December-01,3.24
1998-December-01,-1.0
1999-December-01,-1.46
2000-December-01,-0.72
2001-December-01,-0.64
2002-December-01,1.25
2003-December-01,0.53
2004-December-01,0.54
2005-December-01,-1.27
2006-December-01,1.06
2007-December-01,-1.67
2008-December-01,-0.63
2009-December-01,1.47
2010-December-01,-1.55
2011-December-01,-0.79
2012-December-01,-0.28
2013-December-01,-0.02
2014-December-01,0.8
2015-December-01,2.65
2016-December-01,-0.48
2017-December-01,-1.09
2018-December-01,0.98
